대여소명,대여소_ID_num,지하철역_수_1km,학교_수_1km,위도,경도,경度
신사1동_032_1,1079,2.0,12.0,37.59581,126.910263,126.910263
응암1동_030_1,1080,2.0,6.0,37.601192,126.926384,126.926384
응암3동_002_1,1081,2.0,15.0,37.591812,126.914833,126.914833
진관동_002_1,1082,0.0,1.0,37.656769,126.942009,126.942009
북가좌1동_026_1,1083,4.0,9.0,37.573002,126.907799,126.907799
진관동_002_2,1084,0.0,1.0,37.658287,126.945297,126.945297
진관동_106_1,1085,1.0,9.0,37.630287,126.919563,126.919563
불광1동_064_1,1086,2.0,2.0,37.610508,126.938538,126.938538
진관동_004_2,1087,1.0,10.0,37.631409,126.925407,126.925407
역촌동_068_1,1088,2.0,7.0,37.599968,126.915726,126.915726
이문2동_031_1,1089,5.0,3.0,37.599606,127.068642,127.068642
이문2동_025_1,1090,3.0,9.0,37.603622,127.070831,127.070831
청량리동_008_1,1091,4.0,15.0,37.586708,127.046883,127.046883
답십리1동_009_1,1092,6.0,8.0,37.572147,127.044609,127.044609
남가좌2동_016_1,1093,1.0,6.0,37.573112,126.922447,126.922447
휘경2동_022_1,1094,4.0,18.0,37.589676,127.061516,127.061516
용신동_042_1,1095,8.0,12.0,37.577343,127.023376,127.023376
용신동_042_2,1096,9.0,14.0,37.578751,127.024025,127.024025
제기동_048_1,1097,4.0,13.0,37.58408,127.031036,127.031036
제기동_043_1,1098,3.0,12.0,37.586552,127.033142,127.033142
제기동_028_1,1099,4.0,8.0,37.581432,127.035477,127.035477
장안2동_062_1,1100,0.0,7.0,37.576557,127.07431,127.07431
전농2동_003_1,1101,0.0,14.0,37.577877,127.061684,127.061684
충현동_036_1,1102,6.0,15.0,37.564724,126.967278,126.967278
이문1동_032_1,1103,4.0,16.0,37.592384,127.057411,127.057411
전농2동_004_1,1104,3.0,14.0,37.579838,127.056374,127.056374
중화2동_018_1,1105,5.0,7.0,37.593853,127.075073,127.075073
상봉2동_036_1,1106,6.0,4.0,37.593868,127.076523,127.076523
면목4동_025_1,1107,3.0,8.0,37.574078,127.085007,127.085007
중화2동_023_1,1108,6.0,8.0,37.603054,127.079002,127.079002
묵1동_003_2,1109,2.0,12.0,37.618824,127.08757,127.08757
신내1동_022_2,1110,4.0,5.0,37.613621,127.101151,127.101151
묵2동_007_1,1111,3.0,11.0,37.611477,127.077393,127.077393
묵1동_004_1,1112,4.0,8.0,37.609821,127.078133,127.078133
중화2동_040_1,1113,2.0,10.0,37.605202,127.078583,127.078583
묵1동_010_1,1114,4.0,9.0,37.615353,127.078491,127.078491
중화1동_028_1,1115,4.0,9.0,37.604084,127.079231,127.079231
중화2동_009_1,1116,6.0,4.0,37.594891,127.074951,127.074951
상봉1동_004_1,1117,9.0,9.0,37.595814,127.08284,127.08284
면목4동_002_1,1118,2.0,7.0,37.575985,127.079605,127.079605
상봉1동_003_1,1119,5.0,13.0,37.598328,127.09227,127.09227
신수동_002_1,1120,6.0,12.0,37.549767,126.933174,126.933174
충현동_036_2,1121,6.0,15.0,37.564777,126.966148,126.966148
면목5동_030_2,1122,3.0,7.0,37.581055,127.082092,127.082092
면목5동_030_3,1123,1.0,8.0,37.581112,127.080101,127.080101
구의3동_051_1,1124,2.0,13.0,37.5368,127.090836,127.090836
자양3동_007_1,1125,4.0,13.0,37.535072,127.076111,127.076111
화양동_008_2,1126,3.0,11.0,37.539566,127.072441,127.072441
구의3동_044_1,1127,2.0,11.0,37.537807,127.089767,127.089767
홍은2동_033_1,1128,0.0,9.0,37.578068,126.930885,126.930885
화양동_046_1,1129,4.0,4.0,37.54435,127.065407,127.065407
능동_002_3,1130,3.0,10.0,37.551338,127.076714,127.076714
자양1동_023_1,1131,1.0,19.0,37.536575,127.082581,127.082581
화양동_038_2,1132,3.0,5.0,37.54789,127.067451,127.067451
남가좌1동_014_1,1133,1.0,14.0,37.568775,126.915298,126.915298
군자동_032_1,1134,3.0,7.0,37.54747,127.073967,127.073967
화양동_040_1,1135,3.0,6.0,37.547989,127.069504,127.069504
군자동_035_2,1136,2.0,7.0,37.557713,127.077271,127.077271
